,Sales analysis by region and profit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Profit By Sub-Category,,,Losses By Sub-Category,,,,,
,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Sales,,,,,,,,,Row Labels,Sum of Profit,,Row Labels,Sum of Profit,,,,
Central,35718.4028,,,,,,,,,Accessories,3149.85,,Accessories,-930.6265,,,,
East,37387.628,,,,,,,,,Appliances,2576.5247,,Appliances,-8629.6412,,,,
South,35243.231,,,,,,,,,Art,289.656,,Binders,-38504.2594,,,,
West,37773.213,,,,,,,,,Binders,509.5337,,Bookcases,-12152.206,,,,
Grand Total,146122.4748,,,,,,,,,Bookcases,-199.2926,,Chairs,-9868.7825,,,,
,,,,,,,,,,Chairs,2989.6936,,Fasteners,-33.1952,,,,
,,,,,,,,,,Copiers,2999.946,,Furnishings,-6490.9134,,,,
,,,,,,,,,,Envelopes,708.7654,,Machines,-30118.6682,,,,
,,,,,,,,,,Fasteners,34.5665,,Phones,-7530.6235,,,,
,,,,,,,,,,Furnishings,418.5936,,Storage,-6426.3038,,,,
,,,,,,,,,,Labels,814.6824,,Supplies,-3015.6219,,,,
,,,,,,,,,,Machines,-1401.9372,,Tables,-32412.1483,,,,
,,,,,,,,,,Paper,1949.4214,,Grand Total,-156112.9899,,,,
,,,,,,,,,,Phones,2072.1326,,,,,,,
,,,,,,,,,,Storage,2792.384,,,,,,,
,,,,,,,,,,Supplies,139.8251,,,,,,,
Row Labels,Sum of Profit,,,,,,,,,Tables,-1612.3905,,,,,,,
Furniture,1596.6041,,,,,,,,,Grand Total,18231.9501,,,,,,,
Office Supplies,9815.3592,,,,,,,,,,,,,,,,,
Technology,6819.9868,,,,,,,,,,,,,,,,,
Grand Total,18231.9501,,,,,,,,,,,,,,,,,
